id;nama;no_telepon;jenis;kabupaten_kota;bookmark
1;DIY;562811;pemerintah daerah;Yogyakarta;no
2;Gunung Kidul;391761;pemerintah daerah;Gunung Kidul;no
3;Kulon Progo;773238;pemerintah daerah;Kulon Progo;no
4;Sleman;868405;pemerintah daerah;Sleman;no
5;Kota Jogja;515865;pemerintah daerah;Yogyakarta;no
6;Bantul;367509;pemerintah daerah;Bantul;yes
7;Tugu;589685;stasiun;Yogyakarta;no
8;Lempuyangan;512454;stasiun;Yogyakarta;no
9;Stasiun Wates;773021;stasiun;Yogyakarta;no
10;Bandara Adisucipto;512143;penerbangan;Yogyakarta;no
11;Garuda;522148;penerbangan;Yogyakarta;no
12;Merpati;514272;penerbangan;Yogyakarta;no
13;Mandala;520603;penerbangan;Yogyakarta;no
14;Batavia;547373;penerbangan;Yogyakarta;no
15;Bouraq;383414;penerbangan;Yogyakarta;no
16;Lion;555029;penerbangan;Yogyakarta;no
17;Wings;555028;penerbangan;Yogyakarta;no
18;Kantor Pusat;868667;pdam;Yogyakarta;no
19;Sleman Tengah (Beran);863375;pdam;Sleman;no
20;Sleman Barat (Godean);797286;pdam;Sleman;no
21;Sleman Timur (Kalasan);497857;pdam;Sleman;no
22;Depok;881792;pdam;Sleman;no
23;Sleman Utara (Ngaglik);884300;pdam;Sleman;no
24;Penerangan;108, 106;telekomunikasi;Yogyakarta;no
25;Gangguan Telepon;117, 384117;telekomunikasi;Yogyakarta;no
26;DIY;587101;pemadam kebakaran;Sleman;no
27;Sleman;868351, 8687405;pemadam kebakaran;Yogyakarta;no
28;DIY;563231, 562811;sar;Yogyakarta;no
29;Polda DIY;563494;polisi;Yogyakarta;no
30;Polres Gunung Kidul;91110;polisi;Gunung Kidul;no
31;Polres Kulon Progo;93110;polisi;Kulon Progo;no
32;Polres Sleman;868410;polisi;Sleman;no
33;Poltabes Yogya;512940;polisi;Yogyakarta;no
34;Polres Bantul;367410;polisi;Bantul;no
35;Pamapta Polsekta;512511;polisi;Yogyakarta;no
36;Sat IPP;562469;polisi;Yogyakarta;no
37;Satserse;563139;polisi;Yogyakarta;no
38;Unit Lakalantas;513237;polisi;Yogyakarta;no
39;Urusan SIM;566887;polisi;Yogyakarta;no
40;DIY;376812;pmi;Yogyakarta;no
41;Kota Jogja;372176;pmi;Yogyakarta;no
42;Sleman;868900;pmi;Sleman;no
43;RSUP Dr. Sardjito;587333;rumah sakit;Yogyakarta;no
44;RS PKU Muhammadiyah;512653;rumah sakit;Sleman;no
45;RS Panti Rapih;514845;rumah sakit;Sleman;no
46;RS Bethesda;586688;rumah sakit;Sleman;no
47;RSKB Patmasuri;372022;rumah sakit;Sleman;no
48;RSI Hidayatulah;389194;rumah sakit;Yogyakarta;no
49;RSUD Bantul;367381, 367386;rumah sakit;Bantul;yes
50;RS Ludira Husada;620333, 620373, 620091;rumah sakit;Yogyakarta;no
